"","TF","Module","Target","num_deg","deg"
"1","Myc",1,"IPO13;CCNH;TRRAP;HNRNPU;SMC6;NOC2L;SMC3;TRIM28;OPHN1;PSMD2;LONP1;EPC1;BTRC;CDK5RAP2;SMARCC1;ACOT8;RBFOX2;SMARCC2;CSNK1E;WDR77;BCR;DYNC1LI1;TIAM1;PRKAR1B;KARS;ARMC6;BIN1;MAP1A;TFAM;SUCLG1;GCDH;CTBP1;MAPKAP1;MYCBP2;CTR9;KALRN;HSPH1;RBM10;RAB11FIP5;TRAP1;XRCC6;MYO5A;SMARCA2;SMARCA4;PRRC2A;SETX;CCT6A;TADA2A;LAS1L;ALDH18A1;TENM2;FASTKD2;DIRAS2;ICA1;AP2A1;ECSIT;MED16;SIPA1L3;MED12;MED14;TUBA1B;TUBA1A;RARS;XPO5;CCT3;CCT2;ACTL6A;FOS;TUBG1;SIRT2;DDB1;PSMA5;NCOR2;HADHB;KAT2A;PSMA4;NCOR1;TCP1;EXOC4;EXOC3;ARHGEF2;TKT;SF3B3;HSD17B4;AKAP6;TRAK1;PSMA7;HIRA;PES1;LMNA;PAK6;BRD8;BRD7;RNF130;CCT5;BRD4;DYNC1H1;BRF1;KIDINS220;AGK;HUWE1;AP3D1;MYO9B;SORBS1;LRPPRC;ERP44;PSMC5;PSMC6;SNX19;PSMC3;MYBBP1A;PSMC4;PSMC1;PSMC2;COPG2;PKN1;COPG1;UBE3C;PLOD3;KNDC1;IPO4;IPO9;NRD1;TUBB3;RUVBL2;RUVBL1;PIM2;BAHCC1;MAP3K5;GTF2I;MEN1;MAGI1;IK;MAP2K1;FBXW8;FBXW7;RALGAPA1;MATK;SARS;LMO7;SDHA;GTF2F1;PGD;TRPC4AP;TUBA4A;FOXP1;TUFM;PRPF6;MSH2;MSH3;ILVBL;MAP7D1;NCL;WDFY3;DENND6B;SNRNP200;RAF1;KPNB1;COPB2;TUBGCP2;DDX1;CUL1;UBR2;FOXO3;PRPF8;ACACA;CACNA1G;IRAK1;EP400;ZC3H18;MAP2K7;BPTF;NEK9;UBE2I;CPSF1;CPSF2;ZZEF1;CDK9;P4HA1;TADA3;UBA1;SKIV2L;PI4KB;TUBA8;MIPEP;USP36;SLC25A3;RASGRF1;AKAP8L;CHD5;CHD4;TTC27;SYNE1;HK1;SEC61A1;PTBP1;SNRNP70;ZC3H7B;MYO18A;UBTF;IDH3B;SPEG;TNPO3;SCYL1;POLG;UNC45A;HSP90AA1;NUP133;DNMT3A;AXIN1;IQCE;SMC1A;ARFGAP1;TSN;DNM2;PKM;NAV3;POLR1A;NDUFS2;SLC25A10;NDUFS1;SLC25A12;SLC25A11;SHANK2;CAMK1G;GTF3C1;GTF3C2;HDAC2;HDAC3;DDX24;LUZP1;DCTN1;HDAC1;CXXC1;ATP1A1;GANAB;FZR1;POLR2A;HECTD3;POLR2B;MAPK1;EIF4E;CAMK2G;NOP56;IDH3G;LIMK2;IMMT;PTPN11;MAPK14;MTOR;MAPK10;POLR3A;ERCC3;EIF3I;CARM1;DNAJA3;CROCC;CEBPZ",26,"Smc3 / Epc1 / Rbfox2 / Map1a / Mycbp2 / Setx / Tenm2 / Fos / Akap6 / Kidins220 / Copg2 / Map3k5 / Sdha / Wdfy3 / Copb2 / Prpf8 / Cpsf2 / Rasgrf1 / Chd4 / Ttc27 / Nav3 / Ndufs1 / Gtf3c1 / Polr2a / Polr2b / Camk2g"
"2","Esr1",1,"CCNH;TRRAP;EHMT2;HNRNPU;ABAT;ENO1;PHB2;GOLGA2;TRIM28;AKT2;PSMD2;RPS6KA2;AKT1;PSMD1;PRKACA;JUNB;SRRM2;RBFOX2;SMARCC2;CSNK1E;GTPBP4;SRRM1;NIF3L1;POR;MTHFD1;EWSR1;VDAC3;VDAC1;RBCK1;SHMT2;DHX9;FLII;PIK3R2;PRKCZ;DHX30;LDHA;HSPH1;LARP1;PCK2;TRAP1;XRCC6;JUP;INTS1;GADD45B;RDX;NR2F1;SMARCA2;SMARCA4;GADD45G;SRPK1;PPP5C;FASN;GRB2;ANP32B;ALDH18A1;AARS;PYGB;TOP2B;ARHGAP1;NAT10;TCF20;MED16;MED17;MED12;TUBA1C;MED14;TUBA1B;ATIC;TUBA1A;AIFM1;XPO5;KIF1A;NCOA1;UPF1;WDR36;MRPS27;NCOA5;PRMT2;PARP1;PRMT1;ACAD9;FOS;BAZ1B;GNL2;DDB1;PSMA5;GAK;NCOR2;HADHB;HADHA;MED25;MRPS9;KAT2A;PLCB3;MED24;TUBB2A;NCOR1;GARS;TKT;STAU1;PSMA7;BCLAF1;EXOSC10;LMNA;PAK6;DTD1;DYNC1H1;UTP3;WDR18;MBD2;HUWE1;AP3D1;TUBB4B;SKI;PSMC5;DHRS7;PSMC6;ZNFX1;MYBBP1A;PSMC1;TRIP12;ESYT1;MTCH2;KDM1A;PRDM2;CNDP2;NPEPPS;TUBB3;RUVBL2;RUVBL1;MACROD1;AP2M1;MEN1;PUS1;SARS;TSC2;ILF2;FTSJ3;ACLY;ILF3;PRPF6;MSH2;HNRNPUL1;NCL;KPNB1;GLYR1;VCP;COPA;CUL3;NOP2;FOXO4;FOXO3;PRPF8;BAG1;SAFB2;EP400;MARK2;HSPA9;SMAD4;UBE2I;GOT1;IDH2;ASNS;TIMM44;EEF2;CNOT1;TADA3;ACO2;EIF4G3;EIF4G1;RBM28;HSP90AB1;NUMA1;LDB1;WDR1;THRA;CHD4;CHD3;SYNE1;PTBP1;CAPZB;SIN3B;UBTF;TNPO2;UNC45A;HSP90AA1;SUN1;ABCC5;VPS13D;SAFB;REXO4;ARFGAP2;THRAP3;LUC7L3;INA;SOS2;PLEC;HDAC5;SMARCD1;HDAC2;DDX27;HDAC3;SRC;HDAC1;ATP1A1;GANAB;MTA1;POLR2A;RBBP5;MKNK2;MAPK1;MTA2;MTA3;SEC11A;ATP9A;ABCF1;NOP56;PTCD3;KDM4A;NOP58;KDM4B;IMMT;MAPK14;CDK11B;PFKL;EIF3I;PPP2R2D;TRIM37;VPS45;RAN;PFKP;EIF3B",13,"Junb / Rbfox2 / Dhx9 / Top2b / Wdr36 / Fos / Znfx1 / Copa / Prpf8 / Chd4 / Polr2a / Mta3 / Trim37"
"3","Foxp3",1,"KDM1A;GPATCH4;PWP2;NOC2L;RRP9;DPF2;NUP214;SMARCC1;IK;MAP2K1;SMARCC2;ANAPC7;AP1B1;IMP4;CSNK1D;THOC3;GTPBP4;SRRM1;FOXP1;FTSJ3;DYNC1LI1;PRPF6;CD2BP2;TLN1;ZCCHC8;COPB2;VCP;RBM8A;TUBGCP2;CUL3;CORO1A;CORO1C;DHX30;NACC1;NUP88;PATZ1;MAP2K7;MARK2;BPTF;SPECC1;PHC2;NOP14;INTS3;PAICS;TDRD3;CLK3;SMARCA4;PRRC2A;TBL3;LAS1L;FASN;NOL10;EIF4G3;SUGP1;EIF4G1;PHF3;RBM28;AHCTF1;DDX49;CHD8;INTS10;AP2A1;CHD4;ADAR;TUBA1C;SIPA1L1;BCL7A;SNRNP70;DBT;TOPBP1;RBM5;SEC13;WDR36;ADSL;TFIP11;PLRG1;GNL2;CKAP5;SENP3;REXO4;ARFGAP2;DNM2;MSL1;SLTM;ARHGEF1;SLU7;PLEC;GTF3C1;GTF3C2;HDAC2;HDAC3;GTF3C5;HDAC1;WIZ;NOC4L;ADD1;BCLAF1;POLR2A;RBBP5;BRD7;SF3A3;DYNC1H1;GIT2;PPIL2;UTP3;RPA1;AP2B1;CDK11B;XAB2;BOP1;PFKL;FMNL1;ERCC3;TSR1;ACIN1;COPG2;CEBPZ;SEC24C;SSBP3;TAF1",7,"Copb2 / Ahctf1 / Chd4 / Wdr36 / Gtf3c1 / Polr2a / Copg2"
"4","Pou5f1",1,"TCERG1;CMAS;KDM1A;TRRAP;EHMT2;HNRNPU;JMJD1C;ETS2;TRIM28;DPF2;AP2M1;GTF2I;SAP30BP;SMARCC1;SMARCC2;ILF2;SND1;KRT9;HCFC1;ILF3;MSH2;EWSR1;PSPC1;NCL;ZCCHC8;CTBP2;CTBP1;DHX9;NACC1;TPR;EP400;BPTF;XRCC6;UBE2I;CPSF1;CPSF2;DNAJC13;EEF2;SMARCA2;PRRC2B;SMARCA4;FUBP3;P4HA1;CNOT1;PAF1;UBA2;PHF3;TOP2B;NUMA1;CHD5;CHD4;CHD3;CABIN1;TUBA1A;DBT;IDH3B;CCT3;LRRC47;UPF1;CCT2;EIF5B;RBM17;NUDC;WARS;PARP1;ACTL6A;TFE3;SMC1A;CKAP5;NCOR2;DDB1;HADHA;PKM;TCP1;HDAC2;HDAC1;ATP1A1;HIRA;MTA1;RBBP5;MTA2;MTA3;CCT5;BRD4;SF3A3;MBD3;DYNC1H1;IDH3G;RPA1;WWP2;SSRP1;TUBB4A;GATAD2B;ACIN1;HDGF;ATXN10;TAF1",7,"Snd1 / Dhx9 / Cpsf2 / Prrc2b / Top2b / Chd4 / Mta3"
"5","Notch1",1,"TOP2B;WDR48;KDM1A;CHD4;SMC3;PRPF19;IKBKB;PTBP1;SART1;CDC23;TRIM28;PPP6R1;XPO5;PPP6R3;ARIH2;AKT1;WDR6;VPS39;CCT3;SMARCC1;USP7;SMARCC2;PARP1;ANAPC7;FBXW7;SMC1A;RNF40;HCFC1;KAT2A;MED25;MAU2;PRPF6;ARHGEF2;KPNB1;ANAPC1;USP15;HDAC1;USP11;SRRT;CACNA1A;DTX1;WIZ;DTX3;HTATSF1;PRPF8;KIF3A;DVL1;VPS11;MAPK1;APBB1;ASCC3;RBM10;XRCC6;TRAPPC10;LIMK2;TRAPPC9;WDR12;GATAD2B;SMARCA4;WDR11;CCT6A;CNOT1;CAMK4;APBA1;FRYL",11,"Top2b / Wdr48 / Chd4 / Smc3 / Usp7 / Usp15 / Usp11 / Cacna1a / Prpf8 / Trappc10 / Apba1"
"6","Nanog",1,"AHCTF1;KDM1A;PPAN;CHD4;MED12;PSMD7;TUBA1A;TRIM28;CAPZB;RUVBL2;PSMD2;RUVBL1;PSMD1;TRIM27;PRMT5;PARP1;NSUN2;THOC5;ILF2;SENP3;TUBA4A;GTPBP4;TUFM;KRT9;ATXN2L;TUBB2B;MSH2;KPNB1;AHDC1;PSMD12;HDAC2;DDX27;HDAC1;NOL6;MTA1;NACC1;MTA2;ABCF2;MBD3;NOP14;RCC2;WDR18;SSRP1;TUBB4B;SMARCA2;GATAD2B;SMARCA4;LAS1L;EIF6;MYBBP1A;PSMC4;PSMC1;TSR1;TRIP12;PFKP",3,"Ahctf1 / Chd4 / Ahdc1"
"7","Htt",1,"MIPEP;TCERG1;HBS1L;SETD2;SLC25A3;HSP90AB1;DIRAS2;ENO1;CHD3;PHB2;AP2A2;IKBKB;TUBA1A;PALM;AKT1;SIRPA;DLAT;BTRC;PRKACA;GPRASP2;PDK2;GIT1;PIAS4;ECH1;AXIN1;PRPF40B;TRAFD1;SYN1;FOXP1;DDB1;STX1B;HADHA;NCOR1;FEZ1;UQCRC1;VDAC3;VDAC2;VDAC1;WDFY3;NDUFS1;UQCRC2;HAP1;SGK1;SLC25A12;SLC25A11;OPTN;GNAZ;VCP;CTBP1;DCTN1;STXBP1;CUL2;ITPR1;DLST;CRMP1;HSD17B10;LDHB;LDHA;EPB41L1;CBS;TPR;NDUFA9;RNF20;DYNC1H1;XRCC6;SYT2;MAGEE1;MDH1;SYT1;HIP1R;IMMT;UPF3A;CCT6A;GNAO1;PSMC5;ATG16L1;DLG4;PSMC2;NBR1;SFXN3;MAP3K10;GRB2",6,"Gprasp2 / Fez1 / Wdfy3 / Ndufs1 / Itpr1 / Magee1"
"8","Esr2",1,"RBM28;JMJD1C;NAT10;AP2A1;PTPN23;MED16;SIPA1L2;MED17;MED12;EDC4;GOLGA3;MED14;SYNGAP1;LONP1;AKT1;PSMD1;NEFH;DLGAP4;SRRM2;NCOA1;HSP90AA1;RBFOX2;SMARCC2;MRPS27;PRMT2;NCBP1;ZFR;EPS15L1;GNL2;PPRC1;MRPL45;MED27;SMC1A;SENP3;SND1;GTPBP4;MRPS5;REXO4;HCFC1;FTSJ3;NCOR2;GIGYF1;MRPS9;PREPL;NCOR1;MED24;MSH2;AKAP9;MYH7;GTF3C1;COPB2;GTF3C2;POM121;DNMT1;PSMD12;SF3B3;PCNA;STAU1;GTF3C5;SRC;PIK3R4;UBR3;RRBP1;MLLT1;CCDC106;HTATSF1;BCLAF1;LARP1;FXR2;EXOSC10;PES1;UBN1;MKNK2;ZC3H18;MAPK1;BRD8;MTA2;RBM10;SPTBN2;PTCD3;NOP56;MYH7B;SMAD4;WDR18;RMDN3;MAPK11;PPP5C;LAS1L;MYBBP1A;EIF3I;CDC16;VPS41;ATG2A;COPG2;RBM43;NFKBIB",9,"Nefh / Rbfox2 / Snd1 / Prepl / Gtf3c1 / Copb2 / Dnmt1 / Ubr3 / Copg2"
"9","Smad2",1,"ZFYVE9;PPAN;DCAF7;DCAF6;AKT1;GTF2I;NUP214;TSPYL2;PIAS4;SMARCC1;SMARCC2;AP1B1;TSC2;CSNK1D;ANK3;TUBA4A;RNF123;PSPC1;SIK3;RIN1;SNRNP200;KPNB1;ANAPC2;PAXIP1;DDX1;NEDD4L;FOXO3;ZNHIT6;BTBD2;TPR;UBR5;DVL1;BPTF;CPSF7;SMAD4;SYT1;MYO5A;SMARCA4;SMAD7;CCT6A;CDK9;ABTB1;CDC16;NF1;GTF2IRD1;ANP32B;SLC25A3;GFM2;DOCK9;AKAP8L;PPP1R9B;ING2;TUBA1B;SNRNP70;MCF2L;MYO18A;NEFM;GRIPAP1;EIF5B;TRIM62;ELAC2;ZFR;AXIN1;FOS;UCHL5;ARL4D;PPM1A;KAT2A;MED24;DNAJC7;IRF3;PEX6;ARHGEF1;USP15;HDAC2;HDAC1;TGFBRAP1;CAMK2A;ATP1A1;ACVR1B;RASD2;OS9;HECTD3;MFN2;MAPK1;BUB3;CAMK2G;DYNC1H1;HUWE1;WWP2;SORBS1;GATAD2B;SKI;RIT1;ERCC3;EIF3L;PPP2R2D;EIF3D;RAN",7,"Ubr5 / Nf1 / Nefm / Fos / Usp15 / Camk2a / Camk2g"
"10","Polr2a",1,"TCERG1;SETD2;CCNH;INTS10;HNRNPU;SMC3;PRPF19;CABIN1;RUVBL2;GTF2I;MEN1;UPF1;SMARCC1;RALBP1;SMARCC2;PARP1;ACTL6A;MAGI2;GTF2F1;SMC1A;SAFB;SND1;DDB1;ILF3;EWSR1;CTDSP2;ATP6V1B2;CTDP1;PCNA;DHX9;CTR9;CUL2;MLLT1;HTATSF1;TRAK1;HIRA;RECQL5;POLR2B;UBN1;CSTF1;SMYD2;MAPK1;ZC3H13;MTA2;WWOX;EGLN2;INTS1;CPSF1;INTS3;CPSF3;PCIF1;CPSF2;RPA1;WWP2;ELP3;SSRP1;MAPK14;SMARCA2;MTOR;SMARCA4;CDK9;XAB2;NEURL4;TADA2A;ERCC3;NF1;PAF1;GRB2;UBA1",6,"Smc3 / Snd1 / Dhx9 / Polr2b / Cpsf2 / Nf1"
"11","Tp53",1,"KDM1A;TRRAP;CCNH;EHMT2;PRDM2;NOC2L;ETS2;NUB1;STK11;TRIM28;ZMIZ1;ZMIZ2;CAPN1;PRKACA;BTRC;MEN1;PIAS4;USP7;SMARCC1;DAPK1;PRKCD;DAPK3;MUL1;CSNK1D;UBE4B;CSNK1E;GTPBP4;RNF40;BCR;MSH2;HNRNPUL1;EWSR1;NCL;RAF1;KPNB1;CSNK1G2;CUL9;DNMT1;CUL7;VCP;CTBP1;NPRL3;FOXO3;ADH5;NUAK1;PPP4C;BTBD2;BAG1;UBR5;SMYD2;EP400;ZBTB7A;HSPA9;EGR1;RAB4A;XRCC6;UBE2I;PLK2;DHCR24;EEF2;PTK2;SMARCA4;GADD45G;SMAD7;CDK9;NR4A1;TADA2A;BMP1;TADA3;NMT1;NFKBIB;TOP2B;SETD2;WDR48;HSP90AB1;PHF1;CHD8;RASGRF1;CHD3;MED17;TRIM8;IKBKB;ING2;SIN3B;TRIM3;ARIH2;ANXA7;HSP90AA1;PARP1;PRMT1;ACTL6A;ITPK1;AXIN1;SENP3;SIRT2;SREBF2;KAT2A;NCOR1;SNURF;HDAC5;SMARCD1;HDAC2;HDAC3;PCNA;HDAC1;USP11;CCDC106;MTHFSD;MTA1;RBBP5;HECTD3;MAPK1;BRD8;BRD7;MTA2;CCT5;RNF20;WWOX;MDH1;BRF1;DAB2IP;RPA1;HUWE1;MAPK14;USP29;LRPPRC;MTOR;SKI;MAPK10;MAPK11;PSMC5;TTLL5;PSMC3;ERCC3;CARM1;ERCC2;CEBPZ;TAF6;TAF1",11,"Usp7 / Dnmt1 / Nuak1 / Ubr5 / Egr1 / Nr4a1 / Top2b / Wdr48 / Rasgrf1 / Usp11 / Usp29"
"12","Smarcc1",1,"TOP2B;SMARCD1;VCP;HDAC2;KDM1A;SRC;HDAC1;CUL3;CHD4;ADD1;IKBKB;STK11;ING2;TRIM28;POLR2A;RBBP5;NACC1;DPF2;AKT1;BRD7;SRRM2;PRMT5;WWOX;SMARCC2;STAT2;ACTL6A;SIRT5;PTPN11;WWP2;BAZ1B;MAPK14;SMARCA2;SMARCA4;NR4A1;NCOR1;DLG4;CARM1;GRB2;TAF6",5,"Top2b / Chd4 / Polr2a / Stat2 / Nr4a1"
"13","Brca1",1,"KDM1A;TRRAP;CCNH;ZDHHC5;ENO1;PHB2;TSEN54;HERC2;TATDN2;KPNA6;AKT1;JUNB;GTF2I;PIAS4;SMARCC1;SMARCC2;USP2;THOC3;GTF2F1;TUBA4A;PISD;MSH2;EWSR1;MSH3;CRYZL1;SNRNP200;CDS1;ZCCHC8;VCP;CTBP1;DHX9;FLII;MAPKAP1;TARS;FOXO3;ACACA;CSTF1;HIVEP1;BRAP;XRCC6;SMAD4;UBE2I;JUP;ODF2;PHF12;RDX;SMARCA2;GPN3;SMARCA4;CDK9;TADA3;UBA1;BAP1;CDK16;WDR48;NUMA1;AP2A1;MED17;PPP1R9B;CAPZB;PPP6R1;PPP6R3;WDR6;KIF1B;MAN2C1;TOPBP1;JAK1;EIF5B;PARP1;NUP133;SMC1A;TUBG1;TERF2;SIRT2;KAT2A;MED24;DALRD3;PEX5;ALDH9A1;HDAC2;DDX24;SRC;HDAC1;INPP1;HSPA14;RECQL5;POLR2A;HECTD3;TRIM46;MAPK1;BRD7;MTA2;MAP4K4;DYNC1H1;RPA1;MTOR;DNAJA3;EIF3B",6,"Junb / Dhx9 / Wdr48 / Kif1b / Jak1 / Polr2a"
"14","Esrrb",1,"SMARCD1;HDAC2;L3MBTL2;TRRAP;HDAC1;JMJD1C;WIZ;CHD4;MED16;MED17;MED12;MED14;MTA1;POLR2A;RBBP5;POLR2B;DPF2;EP400;BRD8;MTA2;MTA3;MBD3;SMARCC1;MED27;GATAD2B;HCFC1;MED13L;SMARCA4;MED25;MED24;TAF6",5,"Chd4 / Polr2a / Polr2b / Mta3 / Med13l"
"15","Smad3",1,"SETD2;KDM5C;ZFYVE9;DOCK9;CHD8;DCAF7;ZCCHC14;JPH3;ZMIZ1;SNRNP70;AKT1;BTRC;JUNB;MEN1;NUP214;PIAS4;SMARCC1;USP7;SMARCC2;KDM2A;ELAC2;TFE3;MAGI2;AXIN1;TSC2;CSNK1D;ANK3;FOS;UCHL5;SREBF2;ATXN2L;PPM1A;KAT2A;MED24;PRKAR1B;PSPC1;PEX6;TCP1;SIK3;SLC25A12;KPNB1;CSNK1G2;HDAC5;USP15;SRC;HDAC1;ODC1;CUL1;NEDD4L;FOXO4;FOXO3;ACVR1B;CORO1A;RASD2;LMNA;DVL1;HIVEP1;MAPK1;BUB3;PCDH1;CAMK2G;UBQLN4;RAB11FIP5;PCK2;BPTF;EGR1;GIT2;XRCC6;SMAD4;PLK2;RPA1;WWP2;MAPK14;SMARCA4;SMAD7;SKI;CDK9;NR4A1;RIT1;MCM3AP;MYO5B;NFIC;CDC16;PPP2R2D;NF1;GTF2IRD1;GRB2;CLASRP",9,"Junb / Usp7 / Kdm2a / Fos / Usp15 / Camk2g / Egr1 / Nr4a1 / Nf1"
"16","Ets1",1,"CAMK2B;SRC;HDAC1;CAMK2A;CPLX2;ETS2;CENPB;PPME1;SV2A;RPS6KC1;ZNHIT6;PCNX;MAPK1;NEFM;PIAS4;ACAD8;EIF5B;XRCC6;UBE2I;PARP1;ZFR;ELP2;TSC1;FOS;MAPK14;SMARCA2;NCOR1;LAS1L;NCL;TTC3;EIF3D;EIF3A;AARS;PLEC",8,"Camk2a / Cplx2 / Nefm / Elp2 / Tsc1 / Fos / Ttc3 / Eif3a"
"17","Hif1a",1,"HDAC5;VCP;HDAC2;HSP90AB1;HDAC3;SRC;HDAC1;CUL2;SAT2;FOXO3;PSMA7;HDAC6;USP19;RPTOR;MTA1;OS9;RUVBL2;MAPK1;CAPN1;PIAS4;NCOA1;ARNT2;HSP90AA1;EGLN2;RBFOX3;PARP1;USP20;FBXW7;PCGF2;CSNK1D;SMARCA2;MTOR;SMARCA4;BCR;NR4A1;PER1;PKM;PSMC3;MAFG",3,"Hdac6 / Arnt2 / Nr4a1"
"18","Ep300",1,"KDM1A;FBXO25;HNRNPU;PRDM2;ENO1;ETS2;GOLGA2;HERC1;AKT1;EPC1;PRKACA;BTRC;JUNB;MAP3K5;VPS18;MAP2K1;FBXW8;ANAPC7;PRKCD;CASK;TLE6;HNRNPUL1;EWSR1;ANAPC2;PAXIP1;CTBP2;SRCAP;CTBP1;FLII;DTX1;FOXO3;BAG6;DECR2;ATG7;PCK2;EGR1;XRCC6;SMAD4;WDR59;UBE2I;TNK2;SMARCA2;SMAD7;CDK9;NR4A1;TADA3;CDC16;CNTN2;GRB2;CALCOCO1;THRA;CHD4;ING2;UBTF;LRRFIP1;NCOA1;KLF13;PARP1;PRMT1;FOS;SENP3;SIRT2;NCOR2;DDB1;CREB3;KAT2A;NCOR1;PKM;IRF3;MAPT;CAMK1G;GTF3C1;GTF3C2;SMARCD1;HDAC2;ITIH3;HDAC3;PCNA;GTF3C5;DDX24;SRC;HDAC1;HDAC6;MTA1;MSTO1;POLR2A;TGS1;MAPK1;BRD7;MEF2D;BRD4;STAT2;IMMT;MAPK14;MCM3AP;MYBBP1A;CAMK4;CARM1;RPS6KB2;TACC2;RAN",14,"Herc1 / Epc1 / Junb / Map3k5 / Cask / Egr1 / Wdr59 / Nr4a1 / Chd4 / Fos / Gtf3c1 / Hdac6 / Polr2a / Stat2"
"19","Ctnnb1",1,"PTPRU;CALCOCO1;AHCTF1;HSP90AB1;ZFYVE9;TRRAP;CTNND2;LRRK2;CHD8;PTPRM;PHB2;PKD1;PTPRF;IKBKB;AKAP12;TUBA1A;AKT2;RUVBL2;RUVBL1;DACT2;AKT1;DACT3;DLGAP1;LRRFIP1;PRKACA;LZTS2;BTRC;RAB8A;MEN1;APC2;MAGI1;PARP1;MAGI2;AXIN1;CSNK1D;FOS;CSNK1E;DUSP26;TUBA4A;DDB1;PPM1A;KAT2A;PRPF6;IRF3;FSCN1;PICK1;ARHGEF4;SGK1;ANAPC1;CSNK1G2;HDAC2;CTBP1;SRC;HDAC1;DHX9;CUL3;DDX1;CUL1;FOXO4;FOXO3;HDAC6;LDHB;KIF3B;RBBP5;DVL1;LMNA;EP400;FYN;MAP2K5;BBS2;EGR1;SMAD4;JUP;AP3D1;PTPN11;GRIN2B;RAB11A;SMARCA4;SMAD7;ARHGAP32;NR4A1;TADA2A;DLG5;CARM1;TADA3;UBA1;NF2;FGFR1",12,"Ahctf1 / Ptprm / Akap12 / Apc2 / Fos / Dhx9 / Hdac6 / Kif3b / Egr1 / Grin2b / Arhgap32 / Nr4a1"
